TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD38: FITC-A-Compensated,CD20: PE-A-Compensated,CD10: PE-TR-A-Compensated,CD19: APC-A-Compensated,CD34: AF 700-A-Compensated,CD45: APC-Cy7-A-Compensated,Index
423.893,241430.2,187115,238,115088.7,90781.6,238,300.0409,28758.43,269.665,3124.625,193.1865,15286.45,A1
427.9797,153898.7,111023.4,214,98029.31,81212.32,214,515.3383,21384.45,939.1224,2486.172,102.3888,10633.84,B1
430.2403,197566.2,150025.1,228,171597.1,137575.2,228,-31.82816,15649.73,331.0081,1481.677,17.16102,12866.27,C1
432.0005,161228,125413.1,214,79280.84,67808.16,214,431.4396,12001.16,870.311,3597.09,145.4208,10421.63,D1
436.044,243942.5,197496.3,233,95753.63,78022.56,233,226.7461,22151.75,239.586,2263.798,157.3113,12010.86,E1
442.1853,211771.3,171195.4,227,97498.69,81672.64,227,347.9623,16721.75,565.3458,3388.16,-41.21153,13073.01,F1
444.0047,211799.3,190228.6,219,53887.24,45162.88,219,98.31287,11001.77,313.4677,1514.935,-111.5095,11088.66,G1
448.1929,248133.4,172257.1,249,128377.6,89934.88,249,-26.23099,9542.166,145.1639,1470.889,249.7914,12457.89,H1
452.5154,233961.6,189739.2,231,116272.8,89314.4,231,382.7098,15282.95,172.5952,3283.513,-19.94472,9881.921,H2
453.7596,193981.7,156105.6,223,79837.78,65299.36,223,184.218,8021.341,-18.13541,3203.129,262.454,11311.2,G2
455.0386,181575.7,134760.6,225,99914.85,82400.64,225,424.4223,12009.18,551.2482,2214.51,-99.58923,10640.54,F2
457.5012,218933.8,158046.6,237,140069.1,105065,237,233.8256,20799.28,689.759,2928.891,411.5695,15381.86,E2
460.0938,254267.8,208939.4,234,82139.32,64554.56,234,566.7485,11845.2,728.6268,1068.047,-131.0075,13042.5,D2
463.3348,224947.1,170914.2,235,136003.9,107075.4,235,331.8215,32949.45,-237.8962,3501.192,139.5771,11044.86,C2
464.6,199799.1,166714.2,222,56002.5,49228.48,222,465.8012,9235.897,472.497,1710.403,112.6347,13236.92,B2
466.349,188779.2,136789,229,124711.4,98851.2,229,382.6933,21065.13,16.32606,3199.653,-58.18958,9664.635,A2
469.9694,168590,134457.1,216,93057.88,76109.6,216,437.3368,12344.91,703.9554,1638.316,61.9544,8717.411,A3
471.3727,216948.8,171027.4,230,74660.59,63387.52,230,467.1608,14126.13,79.58404,2244.469,161.9903,12847.99,B3
472.6532,171861.5,136282.7,217,66387.86,54716.48,217,470.3965,10809.85,255.6489,1695.086,50.36372,10992.72,C3
474.5545,212628.2,178423.8,224,65862.21,54999.84,224,751.0793,24138.34,-51.01383,2788.082,297.1287,9927.537,D3
475.6847,182632.7,153749.1,217,57117.77,47811.68,217,635.7311,16326.08,-354.4342,3160.097,20.37335,8032.629,E3
476.773,147877.2,112599.2,209,114616.9,96900.16,209,260.9046,17644.41,451.8231,1628.033,64.55471,10646.19,F3
478.5339,198378.4,159941.6,223,75302.9,61922.56,223,47.63552,15887.24,129.5319,1528.7,11.53992,11941.6,G3
479.963,201864.6,140902.7,237,135430.3,105906.1,237,650.7581,16793.92,872.9071,3577.278,50.658,12900.26,H3
483.8311,221464.8,187003,226,71461.76,57973.44,226,120.1431,19982.39,147.8486,2542.963,175.0814,9504.502,H4
485.4465,224760.7,184567,229,82018.68,65505.44,229,164.6051,16936.9,491.2281,2115.509,-219.6525,12291.75,G4
486.755,207118.7,162056.2,228,65827.27,51862.72,228,123.6549,16508.6,79.27898,2454.999,72.88617,10811.07,F4
489.3918,191900.7,152544,223,75970.32,62487.04,223,94.63567,9236.395,-97.12619,1260.651,17.111,10296.27,E4
491.4874,176721.1,150080,215,55777.29,44046.24,215,172.9542,5739.329,275.8404,1473.478,-14.95546,6239.069,D4
492.6797,277829.7,234410.4,237,73587.46,61238.24,237,380.9245,8464.646,-204.566,875.3847,131.434,13499.91,C4
494.0678,255806.7,190233.1,245,99548.8,72235.52,245,616.2306,5526.085,375.7559,2756.631,114.5886,9200.202,B4
495.3262,206489,163214.2,227,95143.87,77680.96,227,401.8966,21986.14,482.6854,2826.916,162.3089,11531.73,A4
497.8491,193220.4,137993,232,159008.1,118826.4,232,591.9174,33607.03,10934.08,2027.29,435.8715,8940.804,A5
499.4212,197340.8,159406.2,223,146309.2,117448.8,223,296.2668,33230.51,10690.83,4062.813,42.76483,9499.502,B5
500.6512,237817.4,184212,237,122349.6,94749.76,237,313.1806,26155.8,11660.8,1400.779,944.8577,8427.704,C5
501.8328,201507.5,148493,231,162079.8,123303,231,319.4214,31363.19,9528.019,2419.872,122.5262,8596.995,D5
503.74,208813.8,166605.6,228,121961.9,97149.92,228,621.6955,28701.14,7072.514,1539.095,251.0436,7817.695,E5
505.7178,305177.6,255268.2,241,85056.38,66810.24,241,705.4419,26190.31,17110.11,1813.336,152.8627,9068.224,F5
507.4402,207202.3,151061.1,234,147153.7,110260.6,234,251.6494,8105.992,6311.553,1753.727,67.10732,11722.86,G5
510.5909,216028.8,171730.7,229,98126.3,77403.2,229,389.9307,55434.48,17102.15,2065.995,305.8529,7120.452,H5
512.2841,199496.1,149925.4,228,94661.83,75910.24,228,202.1361,27871.98,8278.502,2622.321,11.70063,7970.013,H6
513.6236,247436.8,185792.3,241,198609.4,146295.5,241,921.8923,28282.35,20300.47,1844.064,147.2647,12273.96,G6
517.7699,185074.7,157668,215,79215.34,62386.24,215,112.0361,13512.8,3888.995,1405.319,28.30469,4921.518,F6
519.9052,203087,169195,222,106104.6,83115.2,222,1102.832,25294.61,23766.44,1986.404,237.1333,8205.265,E6
521.5937,217456.9,165382.6,233,83009.27,67149.6,233,614.0398,51477.26,11074.21,2158.174,455.2307,7031.424,D6
524.6991,200092.1,157248,226,139068.4,104485.9,226,446.6129,35287.8,15104.26,2657.505,3226.532,9901.957,C6
527.7858,226042.9,155032.6,242,176769.9,141176,242,708.2864,42584.74,19203.55,3196.674,367.2552,8354.901,B6
529.5749,191311.3,149232.2,223,103885.6,84975.52,223,167.1121,17201.05,7558.053,1692.703,-93.19783,7009.97,A6
534.5823,248785.2,195263,237,88598.66,66656.8,237,397.5952,19255.4,13626.26,863.9352,177.7814,7777.132,B7
537.8804,158956,109795.8,218,139953.5,108227.8,218,531.9034,31723.17,20441.12,1711.284,1410.939,10984.26,C7
542.9106,203551.7,154700,230,142996,114888.5,230,555.0099,36084.84,22651.43,1405.865,258.8568,14149.47,D7
544.1077,184051,133014.6,227,111642.8,91468.16,227,653.0829,23026.49,14580.09,2706.83,33.89418,6988.117,E7
547.9852,186746.1,144929.1,223,133280.6,102612.2,223,281.7688,42335,11632.52,2505.036,151.526,9364.707,F7
552.9462,226216.8,164568.3,240,131094.6,93950.08,240,452.1856,33354.46,27253.88,3068.4,818.8169,10822.68,G7
555.9027,207314.9,162792,229,124944.1,101123.7,229,542.5444,22643.28,22366.09,1520.838,1295.825,9843.404,H7
558.7808,250795.4,193132.8,239,121026.9,94455.2,239,458.0534,58156.89,13486.49,1841.046,916.1666,10828.9,H8
559.9024,221485,163786.6,238,142286,91497.28,238,328.2819,32284.07,13980.62,5228.125,918.8397,9635.213,G8
561.7406,174733.2,128425.9,222,153822.5,126477.1,222,305.6567,26432.8,15012.83,1772.551,2537.06,7749.659,F8
563.8027,253338.3,199516.8,238,88921.41,69012.16,238,1844.393,73334.78,18172.41,5353.597,397.4293,9208.967,E8
568.6866,186626.9,140915,224,163843.2,127183.8,224,751.7946,20686.38,22438.21,2566.452,164.7436,7584.835,D8
570.3571,284860.5,217063.8,247,148930.2,111695.4,247,895.0859,54376.29,7141.076,2160.13,706.2088,10646.5,C8
571.7946,221505.5,177764.2,229,88777.08,71441.44,229,508.932,18642.89,8771.079,2317.157,429.794,7768.094,B8
574.3303,168137.7,129939,216,139070.7,108069.9,216,590.5341,25726.25,11297.38,2462.535,479.2904,8004.31,A8
576.058,257725.1,208936,237,94886.45,77176.96,237,361.5694,23665.85,13071.09,1166.866,609.3881,7491.608,A9
577.6144,221852.1,158947,240,119259.5,81427.36,240,233.1482,16512.88,4411.503,2445.305,-118.7145,8303.646,B9
580.691,234097.8,169406.7,243,152817.3,113019.2,243,391.5724,23694.33,18517.89,3643.019,3292.864,10175.57,C9
582.0682,192346.2,146512.8,226,128901.6,98561.12,226,786.0172,22591.74,15324.78,2191.474,899.6929,8628.215,D9
584.1585,197970.8,151328.8,227,173612.7,128371,227,785.0197,42001.06,13858.51,3127.535,186.9463,7836.962,E9
585.7209,168510.7,132104,216,128238.3,96362.56,216,340.8428,42269.49,12611.85,1551.09,579.3013,8287.813,F9
590.2246,197470.4,168756,219,130122.2,106508.6,219,418.2396,29128.62,13674.36,2106.11,359.2477,8246.464,G9
591.5307,196031.1,142016,230,141555.2,111638.2,230,1037.513,38452.02,20880.13,2999.618,301.1628,8520.798,H9
594.0318,182952.8,127030.4,229,141182.6,96803.84,229,743.3339,41079.58,8853.773,2751.825,178.2132,11461.4,H10
599.9677,204519.2,162699,226,100210.1,81268.32,226,260.4235,21978.97,15159.6,2562.628,44.6167,7413.976,G10
606.4109,221005.1,174656.2,232,111276.7,90724.48,232,342.1858,32548.49,15780.98,2741.079,279.8196,8438.315,F10
607.7583,207175.3,129279.4,246,114099.8,83459.04,246,649.9434,33915.66,15965.86,2159.205,383.8297,8075.695,E10
609.2818,201132.7,145137.4,234,127724.9,95257.12,234,556.5482,17048.28,9082.729,1057.339,155.4616,9404.827,D10
612.8026,212543.2,155294.7,235,124806.3,95167.52,235,1580.533,56730.57,12580.1,4409.237,-437.6116,9064.803,C10
616.1575,329685.7,241774.4,257,150745.7,109633.4,257,522.3705,80342.64,13556.07,5991.703,938.235,13223.97,B10
622.9924,191448.1,134593.8,231,143220.7,109782.4,231,704.2966,44245.07,9120.954,2180.759,255.5141,6950.033,A10
624.5211,222591.7,163904.2,238,159582.3,115212.2,238,1287.147,41685.91,27382.63,3694.394,1746.919,13985.89,A11
630.3412,196848.8,137902.2,233,116478.3,88536,233,393.847,14843.44,7420.988,2329.174,31.278,8050.778,B11
638.387,219491.7,176786.4,229,136708.2,110749,229,484.3259,9668.726,16926.69,2396.362,1479.632,9062.596,C11
643.7387,204084.3,149085.4,232,144736.4,114598.4,232,355.019,39173.12,18146.59,3527.434,4120.505,11993.5,D11
648.709,175385.4,130057.8,221,159150.4,126527.5,221,357.6874,37458.93,3983.85,3499.71,-0.1802566,7810.523,E11
651.2678,147326.1,119705.6,206,113796,86545.76,206,540.5038,16584.52,8245.012,3135.374,387.4947,10906.32,F11
652.2314,183827.7,145676.2,220,135156.7,108623.2,220,707.5601,29103.45,14812.3,3658.721,648.6936,8168.18,G11
656.2623,196478,145411.8,230,133126.5,101111.4,230,478.9647,19696.13,12027.95,3551.526,2143.792,8567.715,H11
