TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD38: FITC-A-Compensated,CD20: PE-A-Compensated,CD10: PE-TR-A-Compensated,CD19: APC-A-Compensated,CD34: AF 700-A-Compensated,CD45: APC-Cy7-A-Compensated,Cell_location
817.3976,207116.5,177297.1,221,82409.52,63235.2,221,146.0664,1369.092,6065.047,1826.734,4311.542,-13.33524,B7
821.3458,226187.5,204323.8,221,73305.63,56887.04,221,107.5367,9717.717,5022.762,1712.678,2979.833,1980.546,C7
823.2219,168499,131735.5,216,76778.3,61801.6,216,69.63241,2113.421,12402.35,2445.588,96.65438,3103.882,D7
828.4763,183264.5,142523.4,222,63657.13,52844.96,222,74.99366,-69.44862,5331.615,1929.996,914.114,4185.19,E7
830.2371,191215,150849.4,223,57183.33,41167.84,223,92.56338,5094.914,4658.966,1412.209,843.2332,3262.388,F7
831.4985,237714.6,151421.8,252,94919.54,69715.52,252,153.6504,225.4236,13650.71,2725.354,7640.405,-806.6917,G7
835.1713,181528.3,129222.2,226,82514.26,63405.44,226,163.3874,3575.911,7947.875,2887.18,5143.871,2534.15,H7
836.5748,168365.2,135252.3,215,68463.79,57067.36,215,52.25573,5790.505,12368.5,1139.369,3314.622,584.5989,H8
837.5334,193442.5,158517,221,95697.24,78160.32,221,180.4,9167.249,16524.51,1799.743,855.8737,851.8072,G8
839.9457,201826.6,173028.8,220,68988.2,50458.24,220,149.4838,179.2793,7705.481,2837.313,2027.643,3335.749,F8
841.3176,248343.4,193541.6,239,60552.19,40598.88,239,103.1731,750.608,6559.636,2936.427,2134.449,1646.164,E8
843.8124,229757.8,200942.6,224,105460.2,82933.76,224,21.36202,10488.84,9404.941,2757.885,10088.86,4143.09,D8
845.7302,206114.2,163404.6,228,66474.03,56310.24,228,21.23933,388.5355,5140.77,1770.755,4281.699,4258.276,C8
847.476,198886.5,153277.6,227,89573.02,69929.44,227,80.55301,3044.776,7138.871,4372.853,2904.534,4459.504,B8
849.2603,213554.9,175750.4,226,78205.98,58414.72,226,56.43092,1638.186,10290.58,3905.637,3120.505,4636.68,A8
850.6171,245975.8,180172.2,244,102454.9,78454.88,244,40.65973,676.2767,7817.969,4524.731,3742.93,4794.87,A9
853.7064,165758,134086.4,212,66364.86,49775.04,212,3849.542,14156.66,2112.404,9144.756,1665.948,1358.714,B9
855.9624,243340.6,192296.2,236,88537.87,68611.2,236,117.1032,190.5409,19358.19,2647.567,5526.824,967.1624,C9
860.0635,176506,147014.6,214,63891.54,54608.96,214,229.0843,19730.37,244.674,1742.672,0.8272454,5266.168,D9
862.0318,191785.8,139421,231,95752.18,73519.04,231,226.7978,4297.194,5135.433,1122.714,2899.369,710.5671,E9
864.0363,240893.1,211014.7,227,84261.22,71504.16,227,36.5458,125.0572,10567.17,1544.739,4016.607,4525.424,F9
865.9569,294592.4,251062.6,238,109051.5,81234.72,238,112.0571,828.7874,7501.157,4671.261,1991.06,3966.577,G9
868.9757,231910,192922.2,228,85295.36,71723.68,228,139.1411,7184.701,6636.606,3643.892,2287.348,5514.912,H9
870.5494,258154.8,223415.4,232,76920.05,57659.84,232,16.52607,1465.664,7268.558,3078.264,3765.859,3701.427,H10
871.9887,308203,255390.2,242,102816.4,75220.32,242,106.8738,281.3518,5642.424,4371.429,2094.943,4767.155,G10
873.8198,253751.3,207455.4,233,109776.8,90394.08,233,131.0817,714.2683,12258.86,3290.98,5851.273,735.8478,F10
874.9835,227417.3,191480.8,228,92003.33,73708.32,228,41.47311,2089.337,8506.732,3213.424,932.959,3005.204,E10
879.8285,330702.4,281312.7,242,113110.3,81232.48,242,432.4859,1629.278,6909.455,4265.729,5490.405,4269.654,D10
881.8828,208055.9,178850.6,220,71527.81,55088.32,220,77.5317,2997.395,4551.796,3273.996,2890.808,2457.242,C10
884.4856,277665.2,232367.5,238,103876.3,77300.16,238,91.77331,399.5695,7418.646,3181.441,3128.992,2501.805,B10
887.385,180948,153284.3,216,85511.87,71414.56,216,51.32344,282.2757,17769.76,2226.271,1938.615,3206.611,A10
890.4102,200460.9,163794.4,223,83147.27,71458.24,223,245.7915,43674.26,599.1231,2427.198,52.53492,4142.036,A11
891.4539,222908.7,201678.4,220,132689.6,109747.7,220,77.72797,3671.358,7780.075,2262.319,1686.882,3764.802,B11
894.8416,255615.8,214357.9,233,86820.02,63501.76,233,95.18891,665.0065,10085.33,1627.235,3311.559,1790.219,C11
896.4003,233224.1,206819.2,223,96460.31,71532.16,223,167.8132,3380.75,4489.222,1839.787,4862.724,2141.94,D11
897.7262,257033.3,220959.2,231,73027.02,61389.44,231,171.9758,3259.626,6654.539,1249.86,6998.324,3107.16,E11
898.8757,293438.6,223918.2,249,95373.49,66037.44,249,322.3737,191.7731,8659.94,1317.727,3763.885,327.0673,F11
900.2148,256257.4,218486.2,231,73069.94,53018.56,231,495.886,3256.734,1687.616,1150.526,1601.793,1000.317,G11
901.4984,224855.6,197503,222,124750,98331.52,222,89.15406,364.5063,5964.183,2886.913,4391.21,2454.618,H11
