TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD38: FITC-A-Compensated,CD20: PE-A-Compensated,CD10: PE-TR-A-Compensated,CD19: APC-A-Compensated,CD34: AF 700-A-Compensated,CD45: APC-Cy7-A-Compensated,Index
724.7352,168129.7,128985.9,218,76992.31,61434.24,218,296.4656,135.0247,2808.828,1091.65,2216.665,3909.542,C11
726.8937,170079.5,146857.8,211,67799.05,58982.56,211,352.1432,983.698,1507.697,1682.61,2246.375,3987.661,D11
728.0629,221760.3,186489,226,73108.56,59321.92,226,156.066,783.9542,1111.237,1557.555,2576.801,1977.351,E11
738.3301,222336.5,190871.5,225,63496.64,57312.64,225,143.1109,721.5806,1909.28,2051.418,2957.375,3787.318,F11
744.0134,236209.6,192492.2,233,53832.3,44477.44,233,146.2938,4156.302,2618.38,1250.766,3865.639,2621.281,G11
758.0261,180039,137405,222,70244.4,50864.8,222,125.1266,258.2419,4060.342,2627.106,2552.777,4758.119,H11
773.8191,161935.7,137469.9,209,72636.88,61865.44,209,116.8696,2888.168,3108.791,993.6882,4823.861,2321.827,H12
777.2714,187589.6,161722.4,215,85354.72,64663.2,215,27193.94,497.0929,0.7344307,186.6071,81.72528,454.4373,G12
786.0363,174478.2,143584,216,83241.45,68659.36,216,167.874,977.2097,3728.251,2186.042,5240.895,4830.285,F12
788.7057,215188.6,187563,222,61480.64,51523.36,222,213.523,672.1435,1736.965,876.4052,2784.623,1399.075,E12
790.9366,218082.7,194908,221,56696.7,46742.08,221,162.8813,504.6772,2890.577,680.6097,2809.428,2782.17,D12
798.7485,166058.6,137267.2,212,83481.75,68868.8,212,74.10728,2928.162,2001.254,2657.635,3749.105,4784.355,C12
801.2353,202836.8,176173.8,219,50208.08,41143.2,219,113.0856,749.7765,1696.004,1208.295,1802.382,3200.891,B12
811.9776,205622.3,171618.7,224,61071.38,49245.28,224,313.5124,7105.444,1217.421,3085.301,5024.735,3460.781,A12
